Time resolution is 1 ps
[ENCAP STATE] Time: 0 | State changed to: 0
[ENCAP STATE] Time: 175000 | State changed to: 2
[ENCAP STATE] Time: 185000 | State changed to: 1
[ENCAP STATE] Time: 195000 | State changed to: 3
[ENCAP STATE] Time: 225000 | State changed to: 4
[ENCAP STATE] Time: 235000 | State changed to: 5
[ENCAP STATE] Time: 245000 | State changed to: 6
[SHAKE256 INPUT] Time: 265000 | Data: 40000140
[SHAKE256 INPUT] Time: 275000 | Data: 80000088
[SHAKE256 INPUT] Time: 295000 | Data: 010000f0
[SHAKE256 INPUT] Time: 315000 | Data: 02000000
[SHAKE256 INPUT] Time: 335000 | Data: 03000000
[SHAKE256 INPUT] Time: 355000 | Data: 07000000
[SHAKE256 INPUT] Time: 375000 | Data: 00000003
[ENCAP STATE] Time: 1275000 | State changed to: 24
[ENCAP STATE] Time: 1285000 | State changed to: 7
[ENCAP STATE] Time: 1295000 | State changed to: 8
[SHAKE256 INPUT] Time: 1305000 | Data: 40002b80
[SHAKE256 INPUT] Time: 1325000 | Data: 80000148
[SHAKE256 INPUT] Time: 1345000 | Data: b458f42d
[SHAKE256 INPUT] Time: 1365000 | Data: c847db34
[SHAKE256 INPUT] Time: 1385000 | Data: eb59bc36
[SHAKE256 INPUT] Time: 1405000 | Data: 589beed8
[SHAKE256 INPUT] Time: 1425000 | Data: cfd0d51e
[SHAKE256 INPUT] Time: 1445000 | Data: 444b954b
[SHAKE256 INPUT] Time: 1465000 | Data: f00156aa
[SHAKE256 INPUT] Time: 1485000 | Data: 413d2551
[SHAKE256 INPUT] Time: 1505000 | Data: b1972ffc
[SHAKE256 INPUT] Time: 1525000 | Data: 276337c4
[SHAKE256 INPUT] Time: 1545000 | Data: 00000002
[ENCAP STATE] Time: 50865000 | State changed to: 9
[ENCAP STATE] Time: 50875000 | State changed to: 10
[ENCAP STATE] Time: 50885000 | State changed to: 11
[SHAKE256 INPUT] Time: 50905000 | Data: 40000200
[SHAKE256 INPUT] Time: 50915000 | Data: 80000088
[SHAKE256 INPUT] Time: 50935000 | Data: 010000f0
